﻿NAME,TYPE EN,SUBTYPE EN,BLOCK,POINT_X_Longitude,POINT_Y_Latitude,location
SIT AL SHAM RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,902,50.54371139,26.12559504,"26.12559504, 50.5437113899999"
WADI ALI RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,575,50.47747466,26.18619598,"26.18619598, 50.4774746599999"
WAHEED RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,227,50.6092814,26.26774821,"26.26774821, 50.6092814"
WALAYIM AL MAJALIS ALSHARGIYAH RESTAURANT,RESTAURANTS,ARABIC RESTAURANTS,914,50.55293093,26.13434962,"26.1343496199999, 50.55293093"
WORLD PASTRIES,RESTAURANTS,ARABIC RESTAURANTS,816,50.5751456,26.15774421,"26.15774421, 50.5751455999999"
ZAHRAT AL KHALEEJ PASTRIES & SHAWARMA,RESTAURANTS,ARABIC RESTAURANTS,935,50.57424936,26.1358852,"26.1358852, 50.57424936"
AL YAZWAH TRADITIONAL FOOD,RESTAURANTS,BAHRAINI RESTAURANTS,914,50.55108476,26.13413881,"26.13413881, 50.55108476"
ATEEQ ALSOOF COFFEE & RESTAURANT,RESTAURANTS,BAHRAINI RESTAURANTS,428,50.53673854,26.23908454,"26.23908454, 50.53673854"
MARASH FOR GULF FOOD,RESTAURANTS,BAHRAINI RESTAURANTS,202,50.61625216,26.26355733,"26.26355733, 50.61625216"
FIRST CHINESE RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,338,50.59138605,26.21483584,"26.2148358399999, 50.5913860499999"
FOLI TAI RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,113,50.65159657,26.23818003,"26.2381800299999, 50.65159657"
GULF TAIPEI CHINESE RESTAURANT,RESTAURANTS,CHINESE RESTAURANTS,315,50.56815856,26.23089837,"26.2308983699999, 50.56815856"
HONG KONG,RESTAURANTS,CHINESE RESTAURANTS,339,50.59692746,26.20398623,"26.20398623, 50.59692746"
